,game_duration,game_ended_in_surrender,game_ended_in_early_surrender,blue_side_won,total_blue_side_minions_killed,total_blue_side_kills,total_blue_side_deaths,total_blue_side_assists,total_blue_side_gold_earned,total_blue_side_gold_spent,total_blue_side_wards_killed,total_blue_side_wards_placed,total_blue_side_vision_score,total_blue_side_towers_taken,total_blue_side_inhibitors_destroyed,total_blue_side_dragons_killed,total_blue_side_horde,total_blue_side_baron,total_blue_side_riftHerald,total_red_side_minions_killed,total_red_side_kills,total_red_side_deaths,total_red_side_assists,total_red_side_gold_earned,total_red_side_gold_spent,total_red_side_ward_takedowns,total_red_side_wards_placed,total_red_side_vision_score,total_red_side_towers_taken,total_red_side_inhibitors_destroyed,total_red_side_dragons_killed,total_red_side_horde,total_red_side_baron,total_red_side_riftHerald
0,1241,True,False,True,631,30,11,46,46043,40400,13,50,123,6,1,0,6,0,1,611,11,30,15,35881,33775,14,38,100,2,0,2,0,0,0
0,1315,False,False,False,644,11,31,14,37085,35750,11,52,92,2,0,0,0,0,0,656,31,11,59,52614,46350,14,57,131,10,1,3,6,1,1
0,1773,False,False,False,793,21,24,46,55303,53775,33,98,216,3,0,3,1,0,1,893,24,21,54,58730,52050,27,75,161,8,1,1,0,1,0
0,2045,False,False,False,997,39,41,57,72410,66660,22,89,206,6,0,1,0,2,1,1072,41,39,73,73502,66100,32,87,195,9,2,2,4,0,0
0,1371,True,False,False,687,11,23,13,38993,37375,11,55,115,3,0,0,6,0,1,795,23,11,47,49779,43490,28,38,138,5,0,3,0,1,0
0,1320,False,False,False,596,7,27,10,34975,30900,12,58,123,1,0,0,1,0,0,708,27,7,42,48455,42935,18,43,114,10,1,2,5,1,1
0,2125,False,False,False,1099,35,36,68,72452,67050,27,104,233,4,0,2,0,1,0,1281,36,35,44,79944,70975,54,81,264,11,3,3,5,1,1
0,1335,False,False,True,678,31,11,47,53043,46125,5,41,92,11,2,1,3,0,1,578,11,31,13,36767,34200,8,46,91,1,0,1,0,0,0
0,926,True,False,False,447,13,23,14,29268,26645,12,34,67,0,0,0,3,0,0,477,23,13,31,34723,28525,9,42,90,3,0,1,3,0,1
0,1663,False,False,False,699,24,35,53,51102,46385,15,78,160,1,0,1,4,1,0,834,35,24,77,62640,56713,27,56,160,11,2,2,2,0,1
0,1725,True,False,False,957,8,24,19,48130,44933,22,83,171,1,0,0,3,0,0,1014,24,8,48,60045,54955,36,75,231,5,0,5,3,1,1
0,1359,True,False,True,706,27,20,34,49320,46208,15,65,141,5,0,4,3,0,0,674,20,27,27,43644,42450,15,50,126,2,0,0,1,0,1
0,1286,False,False,True,710,31,18,38,53183,43912,12,49,113,10,2,1,6,1,1,662,18,31,19,42147,38508,12,36,83,1,0,2,0,0,0
0,1747,False,False,False,913,32,29,39,59897,56950,26,78,201,4,0,1,3,1,0,881,29,32,59,62870,57970,28,71,181,8,1,3,0,1,1
0,2026,False,False,True,1006,40,40,57,75768,70280,47,114,243,8,1,2,5,1,1,987,40,40,74,72199,67330,41,100,195,6,0,3,1,1,0
0,1521,False,False,True,893,24,9,50,56284,48635,27,70,187,10,2,2,3,1,0,811,9,24,17,46096,43550,22,69,147,3,0,2,3,0,1
0,1447,False,False,False,732,17,33,21,48697,46068,19,57,138,4,0,0,6,1,1,775,33,17,53,54096,50858,21,64,154,9,1,4,0,0,0
0,1719,False,False,False,812,22,51,24,52811,50700,17,61,133,1,0,0,1,0,1,909,51,22,84,69695,63680,34,72,198,10,2,4,5,1,0
0,1748,True,False,True,886,37,18,68,62198,54925,19,79,173,6,0,4,6,0,1,845,18,37,28,53621,51850,32,63,163,3,0,0,0,1,0
0,1728,False,False,False,797,27,36,39,58148,55170,19,70,163,6,0,2,6,1,1,855,36,28,69,60991,52635,19,63,151,8,2,2,0,0,0
0,1503,False,False,False,710,25,31,35,50746,49575,25,72,172,7,1,2,2,0,1,831,31,25,55,57011,51610,31,86,192,7,1,1,3,1,0
0,1762,False,False,False,845,28,46,47,58004,55125,24,83,178,3,0,0,2,0,1,913,46,28,74,70358,62912,38,65,169,10,2,4,1,1,0
0,1523,False,False,True,770,37,13,69,55372,47350,13,67,167,9,1,2,3,1,0,690,13,37,22,45724,45025,13,56,102,3,0,1,3,0,1
0,1284,False,False,True,714,30,11,49,51674,45700,10,42,93,10,2,1,6,0,1,608,11,30,15,35614,32633,10,40,81,1,0,2,0,0,0
0,1812,False,False,True,835,47,36,75,73539,66733,26,81,209,10,2,3,1,1,1,811,36,47,43,59883,57883,17,73,177,3,0,2,0,1,0
0,1242,True,False,True,609,23,16,34,41685,37500,13,45,114,3,0,3,0,0,1,601,16,23,23,38116,35610,9,40,81,2,0,0,2,0,0
0,960,True,False,True,580,19,4,25,35320,28300,12,33,89,3,0,2,5,0,1,491,4,19,5,25595,21275,9,32,71,0,0,0,1,0,0
0,1345,False,False,True,728,34,18,59,54238,46710,15,51,128,10,2,2,6,0,1,627,17,34,21,41260,37025,11,45,96,0,0,0,0,0,0
0,1792,False,False,False,912,25,35,47,61461,56475,22,75,177,7,0,1,1,1,0,857,35,25,65,66699,60588,37,83,222,11,3,3,2,1,1
0,1371,True,False,False,690,15,32,20,40377,37900,23,53,122,1,0,0,3,0,0,754,32,15,49,50437,44385,21,72,150,5,0,3,3,0,1
0,1803,False,False,True,938,26,22,41,60649,52708,30,79,203,8,1,3,1,1,0,900,22,26,24,53841,52225,31,75,185,3,0,1,5,0,1
0,965,True,False,False,441,7,22,3,25018,22625,3,34,54,0,0,0,0,0,1,540,22,7,30,38117,31125,9,30,69,6,0,2,6,0,0
0,1339,True,False,False,627,15,24,18,39338,36675,19,49,114,1,0,0,0,0,0,706,24,15,35,46977,45412,18,62,147,4,0,3,3,1,1
0,1958,False,False,True,948,31,39,68,71190,65500,51,121,291,10,3,3,3,1,0,977,39,31,75,68942,66225,34,111,229,6,0,1,3,1,1
0,2273,False,False,True,1082,29,21,56,75443,65013,44,104,257,10,1,3,1,2,1,1085,21,29,36,68715,62100,44,98,254,4,1,3,5,0,0
0,1668,False,False,True,852,33,28,47,60570,54583,19,61,131,11,1,2,6,1,1,795,28,33,47,54618,52675,25,68,163,3,0,2,0,0,0
0,1974,False,False,False,975,26,39,34,62695,75855,33,66,163,3,0,0,3,0,1,1106,39,26,59,76351,68408,29,92,213,11,2,5,0,1,0
0,1573,False,False,False,729,20,29,35,47599,44425,16,58,124,4,0,1,0,0,1,765,29,20,45,56009,50225,20,74,184,8,1,3,6,1,0
0,1740,False,False,False,793,21,40,40,52251,49773,26,58,143,2,0,0,3,0,0,811,40,22,82,66636,59333,28,70,190,10,2,4,3,2,1
0,1689,False,False,True,877,41,38,67,66016,57725,31,69,161,9,1,1,6,1,0,834,38,41,53,63213,59913,27,90,190,4,0,3,0,0,1
0,1806,False,False,True,870,42,18,80,69769,65550,39,68,210,11,3,0,3,1,1,903,18,42,27,55641,52400,21,75,161,1,0,2,0,0,0
0,997,True,False,True,564,19,11,17,35191,30125,9,36,81,4,0,1,6,0,1,489,11,19,16,28586,26100,11,31,69,0,0,1,0,0,0
0,1542,False,False,False,715,29,27,49,56917,55100,27,53,155,8,1,2,1,1,1,774,27,29,53,57750,44350,14,72,137,8,1,1,0,0,0
0,1174,True,False,False,601,8,24,5,33149,29900,9,41,82,2,0,1,2,0,0,595,24,8,50,42605,37325,9,42,98,6,0,2,1,0,1
0,918,True,False,False,390,10,21,18,26963,24475,11,37,80,0,0,0,4,0,0,510,21,11,18,34998,32060,9,42,80,4,0,2,0,0,0
0,1101,True,False,True,564,20,12,37,37667,34075,11,40,99,3,0,1,0,0,1,547,11,20,14,31302,27975,13,30,76,0,0,1,3,0,0
0,1638,False,False,False,789,13,35,22,48089,46200,17,64,132,3,0,0,3,0,0,868,35,13,64,61787,52225,21,57,158,10,2,3,0,1,1
0,2154,False,False,True,1211,32,29,64,79834,68875,41,129,255,10,1,3,3,0,1,1133,29,32,41,76095,73375,47,90,227,8,2,2,3,3,0
0,964,True,False,False,462,17,28,17,31483,29200,10,31,63,0,0,0,0,0,0,510,28,17,31,37485,33225,9,38,80,2,0,2,3,0,0
0,1397,False,False,True,671,36,20,54,55280,49387,24,79,178,8,1,3,1,1,1,605,19,36,33,42252,38950,26,65,123,1,0,0,0,0,0
0,1738,False,False,True,782,41,32,54,62128,56968,38,97,215,9,1,0,0,0,0,793,32,41,37,58386,48668,39,81,168,5,0,3,2,0,0
0,2127,True,False,False,1013,28,34,63,71280,69775,33,83,220,9,0,0,0,1,1,1009,34,28,71,72669,65950,20,104,220,6,1,5,1,1,0
0,1670,True,False,True,861,29,20,42,59680,53508,31,78,184,6,0,1,3,2,0,845,20,29,31,52190,48600,27,96,187,5,0,3,3,0,1
0,1313,True,False,False,595,16,41,23,40173,38000,12,41,78,1,0,1,2,0,0,716,41,16,42,55785,49158,10,67,141,9,2,2,3,1,1
0,1811,False,False,False,876,25,23,57,59474,58675,30,80,190,7,2,2,1,1,0,1024,23,25,40,63031,54683,34,75,202,8,1,2,4,1,1
0,1473,True,False,True,732,31,22,47,52677,45000,22,79,156,6,1,1,2,1,0,732,22,31,25,48521,46833,26,59,153,5,0,2,4,0,1
0,1838,False,False,False,829,29,39,57,58049,54305,22,79,181,1,0,1,0,0,0,934,39,29,77,69586,64678,25,73,182,11,3,4,6,1,1
0,1370,False,False,True,676,34,19,41,53472,47475,16,60,140,7,1,1,1,1,1,677,19,34,28,43800,40741,17,45,111,2,0,1,4,0,0
0,2032,False,False,True,959,45,23,94,75567,67025,42,113,243,11,4,3,0,2,0,965,23,45,35,62880,61885,47,82,220,3,0,1,6,0,1
0,1636,False,False,True,830,30,24,42,58157,51320,29,57,185,8,1,2,3,0,1,817,24,30,47,56673,54000,20,75,176,6,0,0,3,1,0
0,1734,False,False,True,929,36,16,64,64196,56845,30,93,210,9,2,2,3,1,0,878,16,36,31,53225,52133,32,74,169,5,0,1,0,0,1
