,game_duration,game_ended_in_surrender,game_ended_in_early_surrender,blue_side_won,total_blue_side_minions_killed,total_blue_side_kills,total_blue_side_deaths,total_blue_side_assists,total_blue_side_gold_earned,total_blue_side_gold_spent,total_blue_side_wards_killed,total_blue_side_wards_placed,total_blue_side_vision_score,total_towers_destroyed_by_blue,total_inhibitors_destroyed_by_blue,total_blue_side_dragons_killed,total_blue_side_horde,total_blue_side_baron,total_blue_side_riftHerald,total_red_side_minions_killed,total_red_side_kills,total_red_side_deaths,total_red_side_assists,total_red_side_gold_earned,total_red_side_gold_spent,total_red_side_ward_takedowns,total_red_side_wards_placed,total_red_side_vision_score,total_towers_destroyed_by_red,total_inhibitors_destroyed_by_red,total_red_side_dragons_killed,total_red_side_horde,total_red_side_baron,total_red_side_riftHerald
0,1331,False,False,False,537,9,41,15,37713,34375,7,45,88,3,0,0,6,0,0,599,41,9,57,54828,42450,9,37,82,11,3,2,0,0,1
1,1552,True,False,False,759,14,21,20,44515,43220,14,62,121,2,0,1,5,0,1,833,21,14,25,52646,45900,26,43,146,8,2,2,0,1,0
2,917,True,False,True,506,24,8,22,36436,30735,12,25,64,3,0,2,6,0,0,391,8,24,12,24168,21400,4,33,59,0,0,0,0,0,0
3,915,True,False,True,561,24,8,22,34724,29625,12,33,83,3,0,2,6,0,1,470,8,24,5,25588,24112,5,36,62,0,0,0,0,0,0
4,2132,False,False,False,1051,28,36,31,65737,67345,25,109,233,3,0,2,0,0,0,1121,36,28,46,76105,68875,52,64,230,10,1,4,0,2,1
5,1729,False,False,False,858,27,52,32,56695,53608,20,53,148,2,0,3,3,0,1,804,52,27,74,70289,63093,24,89,197,9,2,1,3,1,0
6,1466,False,False,False,682,36,46,46,51811,45858,14,51,100,1,0,0,6,0,0,794,46,36,64,64854,58825,18,70,160,11,3,3,0,1,1
7,1126,True,False,True,566,36,18,42,45298,40887,18,47,110,4,0,0,1,0,1,529,18,36,17,33378,32525,9,39,76,0,0,2,5,0,0
8,1787,False,False,False,919,18,27,31,57609,55408,25,82,198,6,0,3,4,1,1,993,27,18,37,59542,51400,24,63,170,7,1,1,2,0,0
9,1538,False,False,True,816,28,20,36,55620,49466,22,50,117,10,1,3,3,1,1,861,20,28,33,50349,46885,21,72,177,4,0,1,0,0,0
