,game_duration,game_ended_in_surrender,game_ended_in_early_surrender,blue_side_won,total_blue_side_minions_killed,total_blue_side_kills,total_blue_side_deaths,total_blue_side_assists,total_blue_side_gold_earned,total_blue_side_gold_spent,total_blue_side_wards_killed,total_blue_side_wards_placed,total_blue_side_vision_score,total_towers_destroyed_by_blue,total_inhibitors_destroyed_by_blue,total_blue_side_dragons_killed,total_blue_side_horde,total_blue_side_baron,total_blue_side_riftHerald,total_red_side_minions_killed,total_red_side_kills,total_red_side_deaths,total_red_side_assists,total_red_side_gold_earned,total_red_side_gold_spent,total_red_side_ward_takedowns,total_red_side_wards_placed,total_red_side_vision_score,total_towers_destroyed_by_red,total_inhibitors_destroyed_by_red,total_red_side_dragons_killed,total_red_side_horde,total_red_side_baron,total_red_side_riftHerald
0,1799,False,False,True,820,32,42,51,61419,56225,3,62,115,9,2,1,6,0,1,890,42,32,53,66310,60508,17,43,131,6,1,3,0,1,0
1,2009,False,False,True,874,41,52,60,72434,66950,9,53,103,9,2,3,6,0,0,832,52,42,54,71218,65833,13,45,134,8,1,2,0,2,1
2,2840,False,False,False,1192,68,56,103,101020,105835,27,66,189,5,0,2,1,1,0,1102,55,69,77,98296,91900,19,91,212,11,8,5,5,2,0
3,2204,False,False,False,975,22,44,27,66360,64476,24,78,195,9,1,1,3,0,1,929,44,22,65,75259,66930,13,73,169,9,3,4,3,2,0
4,1917,False,False,True,906,38,32,46,70195,61325,16,63,144,9,2,2,3,2,0,909,32,38,50,62801,61270,18,56,159,6,0,2,3,0,1
5,1363,False,False,False,625,13,26,19,39506,36868,21,45,113,3,0,0,1,0,0,709,26,13,34,51036,44680,10,59,120,10,1,4,5,1,1
6,1742,False,False,False,908,40,46,37,61597,59458,12,52,133,3,0,1,3,0,0,897,45,40,53,70003,62793,11,49,123,11,3,3,3,1,1
7,1944,False,False,False,834,26,37,41,57800,55900,12,74,153,2,0,1,3,0,0,932,37,26,43,68260,59275,30,57,173,11,4,4,3,1,1
8,2075,False,False,True,1059,41,27,44,74615,64480,24,61,159,11,3,4,0,1,0,834,27,42,28,60021,58250,12,76,145,3,0,0,6,0,1
9,2281,True,False,False,986,32,52,40,74041,70305,19,64,167,7,0,2,5,1,1,1079,52,32,67,82149,71855,16,78,188,8,2,4,1,1,0
10,1774,False,False,False,826,20,23,26,51217,48460,18,77,181,2,0,3,1,0,0,828,23,20,37,56059,50125,31,49,165,10,2,1,5,0,1
11,2056,False,False,True,882,43,31,62,70524,62958,17,77,188,10,2,4,0,1,1,762,31,43,45,61940,60363,14,66,149,2,0,1,6,1,0
12,1841,False,False,True,924,37,34,52,66744,62975,10,43,102,11,3,2,1,1,0,862,34,37,52,62829,57000,10,42,128,6,0,2,5,0,1
13,2052,False,False,False,895,26,41,32,59703,57325,19,74,180,4,0,1,5,0,1,851,41,26,44,69541,59550,20,60,184,10,2,4,0,2,0
14,2138,False,False,True,778,44,43,101,72478,62200,20,74,183,9,1,2,0,2,1,930,43,44,65,70365,70412,19,61,164,5,0,3,4,0,0
15,1600,False,False,False,503,27,29,30,44922,39850,23,64,154,1,0,1,0,0,0,676,29,27,32,51383,46750,18,67,127,10,1,3,3,0,1
16,2164,False,False,False,918,37,36,58,67563,64333,23,80,181,5,1,1,3,0,0,1010,36,37,63,73727,65583,23,79,202,9,1,4,0,1,1
17,1748,False,False,False,677,34,53,39,55960,52558,10,58,128,5,0,2,0,0,1,745,52,34,77,69267,57425,11,52,115,11,3,2,6,1,0
18,1501,False,False,True,740,33,19,49,53306,46801,14,36,102,7,1,3,6,0,1,691,19,33,18,44316,41443,4,45,96,2,0,1,0,0,0
19,1798,False,False,False,730,43,53,59,62807,57050,10,50,106,5,0,1,3,0,0,783,53,43,66,69389,67558,9,46,98,11,2,3,0,0,1
20,3114,False,False,True,1291,57,72,65,107791,100110,32,106,305,11,2,3,3,3,0,1220,72,57,100,108928,102205,29,112,257,8,2,5,3,1,1
21,1335,False,False,False,610,21,29,27,43844,39175,6,48,96,4,0,1,3,0,1,659,29,21,41,51238,43938,11,31,84,8,1,2,3,1,0
22,1514,False,False,False,603,14,34,23,40869,39700,8,39,82,1,0,0,0,0,0,808,34,14,37,55768,47850,9,40,107,10,2,4,3,0,1
23,1804,False,False,False,931,25,32,27,61301,59730,14,70,142,7,2,3,0,0,0,851,32,25,56,64874,57388,12,69,145,11,4,2,6,2,1
24,1988,False,False,True,873,44,26,45,66936,61350,16,39,96,11,4,3,3,1,1,821,25,44,36,58926,54225,13,57,115,2,0,1,0,0,0
25,2009,False,False,False,856,37,47,41,66873,63775,18,59,141,8,3,0,6,0,0,1003,47,37,53,72895,65525,14,64,141,8,1,4,0,1,1
26,1809,True,False,True,855,30,17,45,58401,53900,27,65,199,9,1,3,6,0,0,837,17,30,29,51893,48508,19,82,158,2,0,0,0,0,1
27,1988,False,False,False,903,26,36,40,58101,55710,28,69,180,2,0,2,3,0,0,1011,36,26,79,71756,64958,21,78,201,11,1,3,3,2,1
28,1649,False,False,True,829,33,13,46,59872,54933,15,52,126,10,1,4,6,1,1,745,13,33,25,44862,41550,12,42,116,2,0,0,0,0,0
29,1455,True,False,False,639,7,33,8,37502,34583,12,55,94,2,0,0,1,0,0,771,33,7,32,54551,46025,27,41,116,8,2,2,5,1,1
30,1777,True,False,False,872,18,35,17,52719,48405,19,62,169,3,0,1,3,0,0,937,35,18,34,62110,55255,10,62,142,10,2,2,2,0,0
31,1816,False,False,True,822,32,26,62,63396,55325,17,58,156,8,1,3,3,2,0,862,26,32,41,59434,57020,21,66,175,4,0,2,3,0,0
32,923,True,False,True,422,22,8,20,31456,27743,4,25,51,2,0,1,4,0,0,353,8,22,10,24138,22100,3,20,46,0,0,0,0,0,0
33,1583,False,False,True,733,43,20,48,61646,57250,17,49,124,10,2,4,0,1,1,687,19,43,26,47426,44538,8,50,95,1,0,0,3,0,0
34,2001,False,False,False,908,24,39,25,57330,54458,18,70,167,3,0,1,3,0,0,980,39,24,35,69211,64790,20,72,171,10,2,3,3,1,0
35,1260,True,False,True,621,26,12,41,43974,37025,9,49,109,5,1,2,6,0,1,520,12,26,16,36269,34483,8,39,88,2,0,1,0,0,0
36,976,True,False,False,410,9,22,15,25627,23200,3,32,60,0,0,0,3,0,0,499,22,9,29,33466,29650,13,37,85,2,0,2,3,0,0
