,total_blue_side_minions,total_blue_side_gold_earned,total_blue_side_wards_placed,total_blue_side_kills,total_blue_side_deaths,total_blue_side_dragons_killed,total_blue_side_riftHeralds_killed,total_towers_destroyed_by_blue,total_inhibitors_destroyed_by_blue,total_red_side_minions,total_red_side_gold_earned,total_red_side_kills,total_red_side_deaths,total_red_side_wards_placed,total_red_side_dragons_killed,total_red_side_riftHeralds_killed,total_towers_destroyed_by_red,total_inhibitors_destroyed_by_red,blue_side_won
0,404,34726,55,18,19,1,1,1,0,389,36145,19,18,31,1,0,3,0,1
0,477,40596,33,19,13,2,1,4,0,465,35464,13,19,35,0,0,5,1,1
0,425,34224,35,14,19,2,1,2,0,408,35967,19,14,32,0,0,4,0,0
0,397,31649,35,13,19,0,1,1,0,415,35070,19,13,49,2,0,3,0,0
0,456,32146,78,6,26,2,1,0,0,463,39864,26,6,82,0,0,2,0,0
0,417,43097,60,31,25,1,1,3,0,457,41511,25,31,66,0,0,4,0,0
0,433,34427,46,17,19,0,1,0,0,348,34604,19,17,27,2,0,1,0,0
0,391,31930,33,11,10,2,1,1,0,374,29749,10,11,34,0,0,1,0,1
0,377,33767,31,15,20,0,0,2,0,457,38220,20,15,32,2,1,4,0,0
0,456,36944,25,19,9,0,1,4,0,452,32701,9,19,37,2,0,1,0,1
0,419,41114,30,24,17,2,1,4,0,445,36058,17,24,34,1,1,4,0,1
0,447,36785,51,18,24,0,0,2,0,410,37691,24,18,206,2,0,1,0,0
0,385,37932,242,21,16,1,0,2,0,395,34083,16,21,40,2,1,3,0,1
0,396,36590,39,21,24,1,1,1,0,398,37267,24,21,38,1,0,2,0,0
0,417,32638,32,12,26,1,0,0,0,460,40571,26,12,44,1,0,3,0,0
0,467,37970,97,20,13,2,1,3,0,427,34459,13,20,37,0,0,2,0,1
0,423,37191,34,23,18,1,0,1,0,429,36514,18,23,32,1,1,2,0,1
0,416,30613,38,9,25,0,0,0,0,404,38784,25,9,386,2,1,3,0,0
0,428,41739,32,31,11,2,0,5,0,366,30705,11,31,37,1,1,0,0,1
0,419,40092,63,27,14,3,0,2,0,406,34051,14,27,31,0,1,2,0,1
0,446,32605,147,11,14,0,0,2,0,487,34763,14,11,44,1,0,1,0,1
0,506,42362,42,25,13,1,1,3,0,440,33920,13,25,52,1,0,3,0,1
0,432,39269,54,24,18,0,0,2,0,493,37732,18,24,55,2,1,4,0,0
0,417,39834,172,26,18,2,1,2,0,388,34813,18,26,36,0,0,1,0,1
0,453,35229,36,16,13,1,2,3,0,418,33478,13,16,307,1,0,3,0,0
0,353,33409,23,17,20,1,0,1,0,460,39685,20,17,37,1,1,6,1,0
0,417,37878,288,23,15,1,1,3,0,320,30964,15,23,49,1,0,0,0,1
0,368,31952,28,13,16,0,0,0,0,460,35894,16,13,53,2,1,2,0,0
0,351,38749,107,32,16,0,0,3,0,374,34853,16,32,28,2,0,2,0,1
0,440,30432,32,11,25,0,0,0,0,453,40435,25,11,41,2,2,6,1,0
0,442,37156,34,19,23,0,0,1,0,431,37398,23,19,36,2,1,1,0,0
0,496,39409,38,17,15,2,0,2,0,417,32595,15,17,51,1,1,3,0,1
0,368,37113,117,22,21,1,0,2,0,432,36914,21,22,382,1,1,4,0,1
0,460,34436,30,14,16,0,0,1,0,498,37092,16,14,253,1,1,3,0,0
0,436,31532,44,7,13,2,0,1,0,479,36171,13,7,26,0,1,4,0,0
0,525,38107,64,15,12,0,0,4,0,417,34646,12,15,31,2,1,1,0,1
0,402,37279,30,23,16,2,1,3,0,371,33664,16,23,31,0,0,1,0,1
0,378,33019,79,16,11,0,0,2,0,385,32739,11,16,31,1,1,3,0,1
0,367,36457,31,20,30,1,1,1,0,447,40484,30,20,31,1,1,3,0,1
0,456,35519,32,11,17,1,2,3,0,475,35962,17,11,33,1,0,1,0,0
0,393,35302,52,18,22,2,1,3,0,417,37494,22,18,30,0,0,3,0,1
0,456,36503,31,15,17,1,1,5,0,315,31515,17,15,27,1,0,2,0,0
0,428,34112,58,16,14,1,1,1,0,432,35296,14,16,37,1,0,2,0,0
0,408,31166,28,8,13,1,0,3,0,439,31984,13,8,29,0,0,3,0,1
0,443,38384,78,19,15,1,0,3,0,433,35621,15,19,40,1,0,2,0,1
