,total_blue_side_minions,total_blue_side_gold_earned,total_blue_side_wards_placed,total_blue_side_kills,total_blue_side_deaths,total_blue_side_dragons_killed,total_blue_side_riftHeralds_killed,total_towers_destroyed_by_blue,total_inhibitors_destroyed_by_blue,total_red_side_minions,total_red_side_gold_earned,total_red_side_kills,total_red_side_deaths,total_red_side_wards_placed,total_red_side_dragons_killed,total_red_side_riftHeralds_killed,total_towers_destroyed_by_red,total_inhibitors_destroyed_by_red,blue_side_won
0,482,36403,79,15,16,2,0,1,0,537,37878,16,15,38,1,1,3,0,0
0,452,45450,41,31,10,2,1,8,0,400,32273,10,31,136,0,0,3,2,1
0,467,38334,39,22,12,2,1,1,0,455,35596,12,22,34,0,0,5,0,1
0,425,32749,67,12,16,0,1,0,0,466,36281,16,12,47,3,0,3,0,0
0,472,36853,47,17,8,2,1,1,0,511,32248,8,17,36,1,0,3,0,0
0,421,33174,96,11,24,0,0,1,0,489,43894,24,11,85,2,1,6,0,0
0,449,38744,46,23,16,0,0,1,0,447,35592,16,23,53,1,1,4,0,0
0,491,33170,49,10,13,1,0,0,0,521,34047,13,10,42,1,1,3,0,1
0,430,35873,50,16,23,1,0,1,0,478,39560,23,16,65,2,0,3,0,0
0,429,36544,39,13,29,0,1,2,0,506,43529,29,13,47,2,0,4,0,0
0,513,37778,109,20,11,0,0,2,0,511,33143,11,20,44,1,0,1,0,1
0,514,35320,50,13,9,1,0,1,0,518,34002,9,13,43,1,0,2,0,1
0,450,33265,35,11,19,1,0,0,0,490,38374,19,11,40,2,1,6,0,0
0,509,35464,37,10,12,0,0,2,0,545,35569,12,10,49,1,0,4,0,0
0,470,37730,50,17,22,0,1,1,0,537,42010,22,17,47,3,0,3,0,1
0,526,44731,86,25,10,1,1,5,1,438,32593,10,25,42,1,0,3,0,1
0,419,39202,34,25,24,2,1,2,0,476,40567,24,25,67,0,0,3,0,0
0,396,31291,39,9,22,0,1,0,0,506,39291,22,9,43,2,0,3,0,0
0,524,35703,37,9,23,0,0,0,0,488,41678,23,9,46,2,1,7,0,0
0,458,34400,131,14,12,1,0,1,0,490,34076,12,14,43,2,1,3,0,0
0,477,38073,49,20,12,0,1,2,0,503,37120,12,20,46,3,0,4,0,1
0,527,34174,38,8,17,0,0,1,0,520,37410,17,8,37,3,1,3,0,0
0,477,36030,59,12,16,0,1,1,0,460,36594,16,12,37,3,0,3,0,0
0,461,38669,39,23,15,1,0,1,0,502,38849,15,23,39,1,1,5,0,1
